2023-02-17 02:00:32.973 [Thread-12] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2023-02-17 02:00:32.996 [Thread-12] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-02-17 02:00:33.011 [Thread-12] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-02-19 15:52:34.015 [restartedMain] INFO  com.chy.yygh.hosp.ServiceHospApplication - Starting ServiceHospApplication on LAPTOP-P9HIVC5F with PID 18272 (started by hp in E:\崔洪源\1.java\项目\代码\Microservice-learning-01-shangyitong)
2023-02-19 15:52:34.016 [restartedMain] INFO  com.chy.yygh.hosp.ServiceHospApplication - The following profiles are active: dev
2023-02-19 15:52:34.078 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in D:\Maven\apache-maven-3.8.2\localRepository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2023-02-19 15:52:34.078 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in D:\Maven\apache-maven-3.8.2\localRepository\com\sun\xml\bind\jaxb-impl\2.1\jaxb-impl-2.1.jar referenced one or more files that do not exist: file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jaxb-api.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/activation.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jsr173_1.0_api.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jaxb1-impl.jar
2023-02-19 15:52:34.079 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-19 15:52:34.079 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-02-19 15:52:35.087 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-02-19 15:52:35.089 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2023-02-19 15:52:35.114 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13ms. Found 0 repository interfaces.
2023-02-19 15:52:35.421 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-02-19 15:52:35.719 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8201 (http)
2023-02-19 15:52:35.727 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8201"]
2023-02-19 15:52:35.728 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-02-19 15:52:35.728 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2023-02-19 15:52:35.831 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-02-19 15:52:35.831 [restartedMain] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1752 ms
2023-02-19 15:52:37.087 [restartedMain] INFO  s.d.s.w.PropertySourcedRequestMappingHandlerMapping - Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2023-02-19 15:52:37.202 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2023-02-19 15:52:37.484 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Context refreshed
2023-02-19 15:52:37.498 [restartedMain] INFO  s.d.s.web.plugins.DocumentationPluginsBootstrapper - Found 2 custom documentation plugin(s)
2023-02-19 15:52:37.524 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2023-02-19 15:52:37.660 [restartedMain] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: lockHospitalSetUsingPUT_1
2023-02-19 15:52:37.711 [restartedMain] INFO  s.d.spring.web.scanners.ApiListingReferenceScanner - Scanning for api listing references
2023-02-19 15:52:37.721 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8201"]
2023-02-19 15:52:37.745 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8201 (http) with context path ''
2023-02-19 15:52:37.748 [restartedMain] INFO  com.chy.yygh.hosp.ServiceHospApplication - Started ServiceHospApplication in 4.257 seconds (JVM running for 5.665)
2023-02-19 15:53:12.991 [http-nio-8201-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-02-19 15:53:12.993 [http-nio-8201-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-02-19 15:53:12.998 [http-nio-8201-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2023-02-19 15:53:13.129 [http-nio-8201-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-02-19 15:53:13.245 [http-nio-8201-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-02-19 15:53:53.267 [restartedMain] INFO  com.chy.yygh.hosp.ServiceHospApplication - Starting ServiceHospApplication on LAPTOP-P9HIVC5F with PID 20168 (started by hp in E:\崔洪源\1.java\项目\代码\Microservice-learning-01-shangyitong)
2023-02-19 15:53:53.269 [restartedMain] INFO  com.chy.yygh.hosp.ServiceHospApplication - The following profiles are active: dev
2023-02-19 15:53:53.329 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in D:\Maven\apache-maven-3.8.2\localRepository\org\glassfish\jaxb\jaxb-runtime\2.3.2\jaxb-runtime-2.3.2.jar referenced one or more files that do not exist: file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.xml.bind-api-2.3.2.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/txw2-2.3.2.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/istack-commons-runtime-3.0.8.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/stax-ex-1.8.1.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/FastInfoset-1.2.16.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/org/glassfish/jaxb/jaxb-runtime/2.3.2/jakarta.activation-api-1.2.1.jar
2023-02-19 15:53:53.329 [restartedMain] INFO  o.s.boot.devtools.restart.ChangeableUrls - The Class-Path manifest attribute in D:\Maven\apache-maven-3.8.2\localRepository\com\sun\xml\bind\jaxb-impl\2.1\jaxb-impl-2.1.jar referenced one or more files that do not exist: file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jaxb-api.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/activation.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jsr173_1.0_api.jar,file:/D:/Maven/apache-maven-3.8.2/localRepository/com/sun/xml/bind/jaxb-impl/2.1/jaxb1-impl.jar
2023-02-19 15:53:53.329 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-02-19 15:53:53.329 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
